trialid,simTime.ho,event.order,simTime.start,ppid,n_back,ttc_criticality.x,event,ho.rt,rt,ttc_criticality.y,braking_rt_faster,automation.response,collision,max_long_jerk,max_lat_jerk,max_long,mean_long,max_lat,sd_latacc,sd_steer,sdlp,mean_lat_acc,mean_decel,sd_yaw_automation,sd_pitch_automation,sd_yaw_manual,sd_pitch_manual
42_TRUE_6_3,1027.316667,3,1026.483333,42,TRUE,3,6,0.83333400000015,0.916667000000189,3,TRUE,brake,FALSE,-9.894993,0.624924,-10.272833,-0.02240894,0.62554,0.166582856851609,1.57019165135976,0.115401832736486,0.166082048333333,-3.78209178066915,10.1972192198057,1.99465247216508,10.5323059507558,4.4578497611188
43_FALSE_1_5,598.65,1,597.433333,43,FALSE,5,1,1.21666700000003,1.48333400000001,5,FALSE,steer,FALSE,-9.749427,3.293036,-10.12892,-0.230299046111111,2.377518,0.240283772286491,83.9091453719307,1.07305992075522,0.136404007777778,-5.86490469871795,4.02610584887575,3.3156356511663,12.0166792193291,7.20885570038817
43_FALSE_2_3,743.35,2,742.35,43,FALSE,3,2,1,0.899999999999977,3,TRUE,brake,FALSE,-10.028874,1.00607,-10.402955,-0.0151121622222222,1.006312,0.326695426604618,1.75297470425404,0.278308799475112,0.217750233888889,-3.28527881922197,3.20382900973004,5.83676101533969,6.1816576818938,6.11124922052273
43_FALSE_4_5,960.916667,3,959.783333,43,FALSE,5,4,1.13333399999999,0.933334000000059,5,TRUE,brake,FALSE,-10.088555,0.64055,-10.469736,0.00408268555555555,0.641469,0.23642088899805,1.41370493465588,0.177302830490801,0.220243100555556,-1.97065168671679,4.08174515332047,5.49389393566766,8.67495106241448,5.96537938986446
43_FALSE_7_3,1437.1,4,1436.166667,43,FALSE,3,7,0.933332999999948,0.816665999999941,3,TRUE,brake,FALSE,-9.832059,0.780765,-10.210488,0.0210774711111111,0.777824,0.0668036820682878,0.815364120653824,0.161490537221941,0.0400143261111111,-4.91662441979522,2.85121714672939,3.94511664068471,12.8555994154676,6.03881080035695
43_TRUE_1_3,255.766667,1,254.15,43,TRUE,3,1,1.61666700000001,1.816667,3,FALSE,steer,TRUE,-4.479782,1.751349,-6.838042,0.655681103333333,1.410948,0.236411053602135,2.00343251166436,0.133999671543296,0.0969639555555555,-1.44109257861635,2.25912010024986,2.59571932985325,5.26865901801433,7.05246770986135
43_TRUE_2_5,411.783333,2,410.6,43,TRUE,5,2,1.183333,1.11666699999995,5,TRUE,brake,FALSE,-5.544073,0.577655,-5.925954,-0.114443506111111,0.57669,0.226600772267862,1.5292519969134,0.186019508168187,0.220551553888889,-0.97267486696562,4.09375560831781,2.10386086721892,4.47178827229136,3.97280305604771
43_TRUE_4_5,633.166667,3,631.833333,43,TRUE,5,4,1.33333399999992,1.11666700000001,5,TRUE,brake,FALSE,-9.81259,1.389673,-10.190829,-0.0582862122222222,1.39036,0.211358217455566,1.82159483981127,0.0860927717183602,0.0964984855555556,-1.96646009388646,5.35862185858683,3.88398908587711,9.98858433432324,4.98702351683028
43_TRUE_6_3,896.033333,4,894.816667,43,TRUE,3,6,1.21666599999992,1.46666599999992,3,TRUE,brake,TRUE,-7.999462,0.982585,-10.357405,0.558514956666667,0.98121,0.112533314070999,1.76220166353876,0.164601545626031,0.0640913361111111,-2.40799635123967,1.80023756691422,4.46269493254314,6.22023624463922,6.70938235552862
44_FALSE_10_3,1456.316667,4,1454.783333,44,FALSE,3,10,1.53333399999997,1.93333399999983,3,TRUE,brake,TRUE,-8.020583,0.829264,-10.372408,0.681345458888889,0.827614,0.256255424669969,1.64451283176276,0.208169064869131,0.222851955,-3.5279818556701,11.3070821028747,8.62940164181165,13.1282152399259,6.25413387964854
